Date,2*(sq(vx1) - sq(vx2))
2004-03-26,-12.953599999999938
2004-03-29,-2.374200000000087
2004-03-30,13.3993999999999
2004-03-31,7.920000000000073
2004-04-01,-0.7846000000000686
2004-04-02,20.546999999999912
2004-04-05,6.687000000000012
2004-04-06,0.0
2004-04-07,2.2926000000001068
2004-04-08,-3.8050000000000637
2004-04-12,17.28219999999976
2004-04-13,-0.7718000000000984
2004-04-14,0.7785999999997557
2004-04-15,9.316799999999716
2004-04-16,33.049800000000005
2004-04-19,62.45099999999991
2004-04-20,63.358200000000124
2004-04-21,78.29520000000002
2004-04-22,102.58079999999984
2004-04-23,127.505
2004-04-26,132.08940000000007
2004-04-27,140.1457999999999
2004-04-28,139.23199999999997
2004-04-29,139.91340000000002
2004-04-30,124.10820000000012
2004-05-03,116.79359999999986
2004-05-04,138.0078000000001
2004-05-05,153.67939999999987
2004-05-06,142.3954
2004-05-07,119.12160000000017
2004-05-10,85.92479999999989
2004-05-11,121.95299999999997
2004-05-12,106.62420000000009
2004-05-13,91.10399999999993
2004-05-14,85.6128000000001
2004-05-17,66.49440000000004
2004-05-18,64.48480000000006
2004-05-19,60.79860000000019
2004-05-20,106.42660000000012
2004-05-21,135.30139999999983
2004-05-24,20.417400000000043
2004-05-25,35.5
2004-05-26,34.27200000000005
2004-05-27,38.774999999999864
2004-05-28,34.21440000000007
2004-06-01,40.05119999999988
2004-06-02,32.175000000000296
2004-06-03,52.45779999999979
2004-06-04,88.04340000000002
2004-06-07,103.25700000000006
2004-06-08,105.1210000000001
2004-06-09,113.07920000000001
2004-06-10,123.80159999999995
2004-06-14,112.24160000000006
2004-06-15,141.94400000000007
2004-06-16,192.82000000000005
2004-06-17,147.41860000000008
2004-06-18,157.74479999999994
2004-06-21,135.33359999999993
2004-06-22,135.41899999999998
2004-06-23,140.02560000000005
2004-06-24,152.8442
2004-06-25,147.35339999999985
2004-06-28,145.58939999999996
2004-06-29,160.524
2004-06-30,185.03040000000004
2004-07-01,177.21900000000005
2004-07-02,183.3585999999999
2004-07-06,174.69999999999993
2004-07-07,188.96940000000006
2004-07-08,200.21760000000006
2004-07-09,228.78660000000008
2004-07-12,268.8656000000001
2004-07-13,296.57599999999996
2004-07-14,357.5813999999998
2004-07-15,105.32700000000011
2004-07-16,113.29920000000016
2004-07-19,72.33539999999994
2004-07-20,87.56099999999992
2004-07-21,114.39359999999988
2004-07-22,140.72239999999977
2004-07-23,171.51199999999994
2004-07-26,165.46619999999996
2004-07-27,180.73620000000005
2004-07-28,191.5050000000001
2004-07-29,236.2879999999999
2004-07-30,248.36239999999987
2004-08-02,243.92060000000015
2004-08-03,227.96399999999994
2004-08-04,199.1550000000001
2004-08-05,172.59199999999998
2004-08-06,152.51739999999995
2004-08-09,144.81619999999998
2004-08-10,127.36800000000017
2004-08-11,137.04480000000024
2004-08-12,89.856
2004-08-13,84.84699999999998
2004-08-16,92.82000000000005
2004-08-17,110.63220000000001
2004-08-18,22.591999999999985
2004-08-19,183.2639999999999
2004-08-20,184.1712000000001
2004-08-23,94.22400000000005
2004-08-24,93.77280000000007
2004-08-25,74.31619999999998
2004-08-26,80.24000000000001
2004-08-27,88.7568
2004-08-30,77.56559999999979
2004-08-31,95.17499999999973
2004-09-01,87.37699999999984
2004-09-02,77.4158000000001
2004-09-03,78.76480000000004
2004-09-07,78.22079999999983
2004-09-08,97.20160000000016
2004-09-09,96.37999999999988
2004-09-10,94.03680000000003
2004-09-13,109.69419999999997
2004-09-14,97.57999999999998
2004-09-15,102.23500000000001
2004-09-16,80.67500000000013
2004-09-17,77.47199999999992
2004-09-20,80.7487999999999
2004-09-21,79.16159999999996
2004-09-22,83.1488
2004-09-23,85.2286000000002
2004-09-24,91.22079999999994
2004-09-27,91.50899999999996
2004-09-28,101.4622
2004-09-29,116.93020000000018
2004-09-30,110.2192
2004-10-01,106.03020000000004
2004-10-04,98.5152
2004-10-05,95.74620000000004
2004-10-06,94.87499999999994
2004-10-07,75.72480000000002
2004-10-08,55.89920000000001
2004-10-11,50.547000000000025
2004-10-12,58.881000000000085
2004-10-13,164.98900000000003
2004-10-14,60.299999999999955
2004-10-15,66.63979999999998
2004-10-18,85.83819999999997
2004-10-19,96.04980000000006
2004-10-20,86.14619999999991
2004-10-21,88.37519999999995
2004-10-22,84.08220000000006
2004-10-25,71.92800000000022
2004-10-26,71.08980000000014
2004-10-27,61.883000000000095
2004-10-28,70.2177999999999
2004-10-29,62.409800000000075
2004-11-01,58.87699999999995
2004-11-02,66.78000000000003
2004-11-03,90.24000000000001
2004-11-04,91.09139999999991
2004-11-05,84.15440000000007
2004-11-08,80.81459999999998
2004-11-09,88.76559999999995
2004-11-10,104.5320000000001
2004-11-11,113.46480000000003
2004-11-12,108.62579999999991
2004-11-15,119.74060000000003
2004-11-16,143.1384
2004-11-17,127.49759999999998
2004-11-18,40.15699999999998
2004-11-19,58.54880000000014
2004-11-22,66.78000000000003
2004-11-23,61.30879999999996
2004-11-24,61.47900000000004
2004-11-26,78.82560000000001
2004-11-29,68.03779999999983
2004-11-30,61.67700000000008
2004-12-01,59.616199999999935
2004-12-02,56.86019999999996
2004-12-03,40.588599999999985
2004-12-06,61.40159999999997
2004-12-07,50.64299999999997
2004-12-08,62.264999999999986
2004-12-09,69.90320000000003
2004-12-10,70.84799999999996
2004-12-13,71.87040000000002
2004-12-14,67.14080000000001
2004-12-15,61.31040000000007
2004-12-16,56.48939999999999
2004-12-17,60.75919999999991
2004-12-20,60.039000000000044
2004-12-21,58.90500000000003
